Position,Hangul,IPA_Pronunciation,Word_Type,TOPIK_Level,Definition,Example_Sentence,Example_Sentence_IPA,Example_Sentence_Translation,Usage_Hint,Frequency,Frequency_Number,Verified,Quality_Score,HSK_Compliance,Processed,Reasoning_Tokens,Total_Tokens,O4_Error
101,어서,ʌ.sʌ,adverb,1,quickly,어서 와.,ʌ.sʌ wa,Come quickly.,Used to urge someone to act quickly; appears in casual and polite expressions (eoseo oseyo).,101,5851,True,Good clarity; common usage illustrated.,False,True,1536,2255,
102,그는,kɯ.nɯn,pronoun,1,he,그는 학생이다.,kɯ.nɯn hak̚.sɛŋ.i.ta,He is a student.,Used with topic marker 는 to mark 'he' as the topic in neutral formal contexts.,102,5842,True,Accurate and concise analysis.,False,True,640,1358,
103,위해,wi.hɛ,noun,1,harm,담배 연기는 폐에 위해를 끼친다.,tam.pɛ jʌn.ki.nɯn pʰje.e wi.hɛ.ɾɯl k͈i.tɕʰin.ta,Cigarette smoke harms the lungs.,"Formal noun meaning 'harm', commonly used with 끼치다 in written or formal contexts",103,5837,True,Accurate definition with suitable example,False,True,1664,2386,
104,해요,hɛ.jo,verb,1,do,저는 한국어를 공부해요.,tɕʌ.nɯn han.kuk̚.ʌ.ɾɯl koŋ.pu.hɛ.jo,I study Korean.,Polite present tense form of the verb 하다 used in everyday conversation,104,5828,True,Accurate and clear,False,True,640,1352,
105,일이,il.i,noun,1,work,오늘 일이 많아요.,o.nɯl il.i man.a.jo,I have a lot of work today.,Used as the subject-marker form of il (work) with the particle i in neutral-polite speech,105,5817,True,Accurate and clear,False,True,1344,2059,
106,하지,ha.tɕi,verb,1,do,우리는 매일 운동을 하지.,u.ɾi.nɯn mɛ.il un.toŋ.ɯl ha.tɕi,We do exercise every day.,"Plain speech present tense of '하다', used in neutral declarative sentences",106,5768,True,"High quality entry, reflects common usage",False,True,1536,2252,
107,엄마,ʌm.ma,noun,1,mom,"엄마, 밥 먹었어요?",ʌm.ma pap̚ mʌk̚.ʌt̚.ʌ.jo,"Mom, have you eaten?",Common spoken term; informal address by children to their mother,107,5728,True,Accurate and common usage; standard family term,False,True,640,1361,
108,바로,pa.ɾo,adverb,1,immediately,지금 바로 시작하세요.,tɕi.kɯm pa.ɾo si.tɕak̚.ha.se.jo,Please start right away.,"Used as an adverb to indicate immediate action or directness, common in both formal and casual speech",108,5628,True,"Clear, concise, and accurate representation",False,True,768,1489,
109,가,ka,particle,1,subject marker,친구가 학교에 간다.,tɕʰin.ku.ka hak̚.kjo.e kan.ta,A friend goes to school.,Used after vowel-ending nouns to mark the subject in neutral declarative sentences,109,5623,True,Accurate and concise analysis of the most common usage,False,True,1088,1802,
110,근데,kɯn.te,adverb,1,but,그 식당 음식이 맛있어. 근데 가격이 좀 비싸.,kɯ sik̚.taŋ ɯm.sik̚.i mat̚.it̚.ʌ kɯn.te ka.kjʌk̚.i tɕom pi.s͈a,"The food at that restaurant is delicious, but it's a bit expensive.",Casual spoken conjunction; informal contraction of geureonde; used at sentence beginnings to introduce a contrast,110,5547,True,Accurate and natural usage,False,True,1408,2147,
111,알고,al.ko,verb,1,knowing,나는 그 사실을 이미 알고 있어.,na.nɯn kɯ sa.sil.ɯl i.mi al.ko it̚.ʌ,I already know that fact.,"Connective (gerund) form of the verb 알다 used before 있다 to indicate 'to know' or to connect actions, common in spoken and written Korean",111,5534,True,Accurate and complete analysis,False,True,1472,2202,
112,이렇게,i.ɾʌt̚.ke,adverb,1,like this,이렇게 하면 돼요.,i.ɾʌt̚.ke ha.mjʌn twɛ.jo,You can do it like this.,"Used to indicate manner or method ('like this'), common in both spoken and written Korean.",112,5516,True,"Clear basic adverb, common in everyday speech.",False,True,1152,1885,
113,빨리,p͈al.ɾi,adverb,1,quickly,빨리 가자.,p͈al.ɾi ka.tɕa,Let's go quickly.,"Common adverb indicating speed, used in casual and formal speech",113,5487,True,Standard and natural usage,False,True,576,1289,
114,있습니다,it̚.sɯp̚.ni.ta,verb,1,to exist,도서관에 책이 있습니다.,to.sʌ.kwan.e tɕʰɛk̚.i it̚.sɯp̚.ni.ta,There are books in the library.,Formal polite declarative form (습니다) used in formal speech and writing,114,5474,True,Accurate and appropriate formal polite expression,False,True,1472,2208,
115,이거,i.kʌ,pronoun,1,this,이거 주세요.,i.kʌ tɕu.se.jo,Please give me this.,"Colloquial demonstrative pronoun for 'this' in everyday speech, informal to polite contexts",115,5373,True,"Accurate, high frequency usage example",False,True,768,1486,
116,전에,tɕʌn.e,particle,1,before,식사 전에 손을 씻으세요.,sik̚.sa tɕʌn.e son.ɯl s͈it̚.ɯ.se.jo,Wash your hands before the meal.,Used after time or event nouns to indicate a point preceding that time; common temporal expression.,116,5366,True,Accurate and concise; provides clear usage context.,False,True,960,1687,
117,어,ʌ,particle,1,um,"어, 이거 얼마예요?",ʌ i.kʌ ʌl.ma.je.jo,"Um, how much is this?",Filler interjection used at the beginning of casual phrases to indicate hesitation,117,5306,True,Accurate and concise,False,True,1664,2375,
118,아뇨,a.njo,particle,1,no,"아뇨, 괜찮아요.",a.njo kwɛn.tɕʰan.a.jo,"No, I'm fine.","Polite negative response, contraction of 아니요, used in everyday polite speech.",118,5297,True,Accurate and clear analysis.,False,True,1088,1806,
119,계속,kje.sok̚,adverb,1,continuously,비가 계속 오고 있다.,pi.ka kje.sok̚ o.ko it̚.ta,It keeps raining.,"Used as an adverb to indicate uninterrupted action, common in both speech and writing.",119,5257,True,High quality: accurate and appropriate usage.,False,True,768,1486,
120,닥터,tak̚.tʰʌ,noun,1,doctor,그는 유명한 닥터예요.,kɯ.nɯn ju.mjʌŋ.han tak̚.tʰʌ.je.jo,He is a famous doctor.,"Loanword from English 'doctor', used in spoken and written Korean in neutral contexts",120,5237,True,Clear and accurate analysis,False,True,768,1495,
121,얼마나,ʌl.ma.na,adverb,1,how much,이 옷은 얼마나 비싸요?,i ot̚.ɯn ʌl.ma.na pi.s͈a.jo,How expensive is this outfit?,"Interrogative adverb for asking degree or extent, used with adjectives or verbs in both formal and casual speech",121,5234,True,"Accurate entry with correct IPA, definition, and usage context",False,True,1472,2207,
122,될,twel,verb,1,become,그 일이 잘 될 거예요.,kɯ il.i tɕal twel kʌ.je.jo,That will turn out well.,Attributive form of the verb become used before nouns to indicate a future outcome or potential (will become),122,5234,True,"Accurate analysis with correct IPA, definition, and usage example",False,True,1984,2711,
123,알았어,al.at̚.ʌ,verb,1,understood,"네, 알았어.",ne al.at̚.ʌ,"Okay, got it.","Casual past tense form of the verb 'to know', used in informal speech to acknowledge understanding ('got it').",123,5217,True,Clear and accurate entry.,False,True,1728,2457,
124,않아,an.a,verb,1,not,나는 피자를 좋아하지 않아.,na.nɯn pʰi.tɕa.ɾɯl tɕot̚.a.ha.tɕi an.a,I don't like pizza.,Informal low style negation of verbs/adjectives in casual speech,124,5207,True,Clear and accurate,False,True,960,1664,
125,제발,tɕe.pal,adverb,1,please,제발 도와줘.,tɕe.pal to.wa.tɕwʌ,Please help me.,"Used to make earnest requests or pleas, can precede verbs for emphasis in casual and formal contexts.",125,5182,True,Accurate and clear depiction of common usage.,False,True,704,1427,
126,있지,it̚.tɕi,particle,2,you know,"있지, 나 어제 새 영화를 봤어.",it̚.tɕi na ʌ.tɕe sɛ jʌŋ.hwa.ɾɯl pwat̚.ʌ,"You know, I watched a new movie yesterday.",Informal filler at sentence start or end to draw listener's attention or seek confirmation,126,5135,True,Clear and accurate,False,True,768,1498,
127,겁니다,kʌp̚.ni.ta,particle,1,will,내일 학교에 갈 겁니다.,nɛ.il hak̚.kjo.e kal kʌp̚.ni.ta,I will go to school tomorrow.,Formal polite future tense ending used to express future intention in statements.,127,5062,True,Natural formal usage indicating future tense.,False,True,832,1563,
128,어디,ʌ.ti,adverb,1,where,화장실이 어디에 있어요?,hwa.tɕaŋ.sil.i ʌ.ti.e it̚.ʌ.jo,Where is the bathroom?,Used to ask about location in questions; often followed by location marker 에 and polite ending -있어요.,128,5021,True,Accurate and suitable for basic learners.,False,True,960,1683,
129,사람이,sa.ɾam.i,noun,1,person,그 사람이 누구예요?,kɯ sa.ɾam.i nu.ku.je.jo,Who is that person?,"Subject form of the noun 사람 with the subject particle 이, in polite speech",129,5021,True,Accurate and reliable analysis,False,True,832,1548,
130,그가,kɯ.ka,pronoun,1,he,그가 집에 갔어요.,kɯ.ka tɕip̚.e kat̚.ʌ.jo,He went home.,"Pronoun geu (he) with the subject marker ga, used neutrally to mark the subject 'he' in sentences.",130,5006,True,"Accurate and clear entry with correct IPA, definition, and example.",False,True,1344,2080,
131,안녕,an.njʌŋ,noun,1,hello,"안녕, 잘 지냈어?",an.njʌŋ tɕal tɕi.nɛt̚.ʌ,"Hello, how have you been?",Casual greeting used among friends and peers at the start of conversations,131,4963,True,Accurate and concise analysis,False,True,768,1488,
132,좋아요,tɕot̚.a.jo,verb,1,good,이 영화 정말 좋아요.,i jʌŋ.hwa tɕʌŋ.mal tɕot̚.a.jo,I really like this movie.,Polite present form of 'jota' used to express approval or liking in casual and formal speech,132,4954,True,The user mislabeled the part of speech; joayo is a polite verb form of jota. IPA was standardized.,False,True,1920,2665,
133,같아,kat̚.a,adjective,1,same,우리 생각이 같아.,u.ɾi sɛŋ.kak̚.i kat̚.a,We have the same opinion.,Informal present form of 같다 used in casual speech.,133,4864,True,Clear and accurate description.,False,True,1280,1988,
134,우리는,u.ɾi.nɯn,pronoun,1,we,우리는 모두 친구예요.,u.ɾi.nɯn mo.tu tɕʰin.ku.je.jo,We are all friends.,"First person plural pronoun with topic marker (는), used in neutral polite statements.",134,4862,True,Accurate and clear.,False,True,832,1554,
135,그래요,kɯ.ɾɛ.jo,adjective,1,is that so?,그래요? 저는 몰랐어요.,kɯ.ɾɛ.jo tɕʌ.nɯn mol.ɾat̚.ʌ.jo,Is that so? I didn’t know.,Polite present form of 그렇다 used as a response to show acknowledgement or surprise,135,4795,True,Accurate common usage,False,True,704,1435,
136,당신을,taŋ.sin.ɯl,pronoun,1,you,당신을 사랑해요.,taŋ.sin.ɯl sa.ɾaŋ.hɛ.jo,I love you.,"Object form of 당신, formal second-person pronoun; commonly used in written, emotive, or poetic contexts; can sound distant or stiff in everyday speech",136,4767,True,Accurate and concise analysis,False,True,1152,1890,
137,자,tɕa,particle,1,let's,가자.,ka.tɕa,Let's go.,Used after verb stems to form suggestions ('let's') in casual spoken Korean,137,4745,True,Clear and concise example of the suggestion particle,False,True,960,1669,
138,그걸,kɯ.kʌl,pronoun,1,that,그걸 어디에 뒀어?,kɯ.kʌl ʌ.ti.e twʌt̚.ʌ,Where did you put that?,"Contraction of '그것을', used as an object pronoun in casual speech",138,4724,True,Accurate and natural usage in colloquial context,False,True,832,1563,
139,두,tu,noun,1,two,저는 사과 두 개를 먹었어요.,tɕʌ.nɯn sa.kwa tu kɛ.ɾɯl mʌk̚.ʌt̚.ʌ.jo,I ate two apples.,"Bound cardinal number form of 'two' used before counters (e.g., 개, 명).",139,4698,True,Accurate representation of the bound numeral for two in counting contexts.,False,True,1344,2064,
140,아니에요,a.ni.e.jo,verb,1,no,"이거 사과예요? 아니에요, 바나나예요.",i.kʌ sa.kwa.je.jo a.ni.e.jo pa.na.na.je.jo,"Is this an apple? No, it's a banana.",Polite negative copula used to deny or negate statements in formal and informal polite speech,140,4609,True,Accurate and concise,False,True,704,1440,
141,있을,it̚.ɯl,verb,1,exist,내일 있을 회의는 오전 10시에 시작해요.,nɛ.il it̚.ɯl hwe.ɰi.nɯn o.tɕʌn si.e si.tɕak̚.hɛ.jo,The meeting that will take place tomorrow starts at 10 a.m.,Attributive form of 있다 used before a noun to indicate something that will exist or occur,141,4603,True,Concise and accurate analysis of the attributive form,False,True,1664,2404,
142,때문에,t͈ɛ.mun.e,particle,1,because of,교통사고 때문에 지하철이 지연되었어요.,kjo.tʰoŋ.sa.ko t͈ɛ.mun.e tɕi.ha.tɕʰʌl.i tɕi.jʌn.twe.ʌt̚.ʌ.jo,The subway was delayed because of a traffic accident.,Used after nouns to indicate cause or reason; neutral register; appears in both spoken and written Korean.,142,4598,True,"Accurate definition and example; clear, concise usage context.",False,True,1216,1956,
143,대해,tɛ.hɛ,noun,1,about,한국 역사에 대해 배우고 싶어요.,han.kuk̚ jʌk̚.sa.e tɛ.hɛ pɛ.u.ko sip̚.ʌ.jo,I want to learn about Korean history.,Used with the particle 에 to form '...에 대해' meaning 'about' or 'regarding'.,143,4598,True,Clear and accurate representation of the word's most common usage.,False,True,1152,1880,
144,아빠,a.p͈a,noun,1,dad,"아빠, 어디 가세요?",a.p͈a ʌ.ti ka.se.jo,"Dad, where are you going?",Informal term used by children to address their father,144,4551,True,Accurate representation with common usage example,False,True,576,1292,
145,몇,mjʌt̚,pronoun,1,how many,사과가 몇 개 있어요?,sa.kwa.ka mjʌt̚ kɛ it̚.ʌ.jo,How many apples are there?,Used before numeric classifiers for objects or people in polite questions,145,4444,True,Clear and accurate,False,True,1344,2059,
146,사람,sa.ɾam,noun,1,person,저 사람은 누구예요?,tɕʌ sa.ɾam.ɯn nu.ku.je.jo,Who is that person?,"General noun meaning a human being, used in both formal and informal contexts",146,4444,True,Clear and accurate usage,False,True,832,1545,
147,했어,hɛt̚.ʌ,verb,1,did,어제 숙제를 다 했어.,ʌ.tɕe suk̚.tɕe.ɾɯl ta hɛt̚.ʌ,I did all my homework yesterday.,"Informal past tense of 하다, commonly used in casual conversation",147,4395,True,Accurate and appropriate for beginner level,False,True,768,1493,
148,뭐야,mwʌ.ja,pronoun,1,what is it,이게 뭐야?,i.ke mwʌ.ja,What is this?,"Informal spoken question used in casual contexts to ask 'what is it?', formed by contracting 'what' and the copula ending",148,4377,True,Clear and accurate,False,True,1472,2198,
149,수도,su.to,noun,1,capital city,서울은 대한민국의 수도이다.,sʌ.ul.ɯn tɛ.han.min.kuk̚.ɰi su.to.i.ta,Seoul is the capital city of South Korea.,"Used to denote the administrative capital of a country, often following the country name",149,4314,True,Clear and accurate representation suitable for TOPIK 1 learners,False,True,1664,2382,
150,많이,man.i,adverb,1,a lot,저는 한국어를 많이 공부해요.,tɕʌ.nɯn han.kuk̚.ʌ.ɾɯl man.i koŋ.pu.hɛ.jo,I study Korean a lot.,Neutral adverb used before verbs to indicate a high degree or quantity,150,4279,True,Correct and concise analysis,False,True,768,1479,
151,집에,tɕip̚.e,particle,1,at home,저는 집에 있어요.,tɕʌ.nɯn tɕip̚.e it̚.ʌ.jo,I am at home.,Used with verbs of existence or movement to indicate location or direction; neutral polite speech,151,4262,True,Clear and accurate,False,True,1408,2127,
152,거지,kʌ.tɕi,noun,1,beggar,저기서 거지 한 명이 구걸하고 있어요.,tɕʌ.ki.sʌ kʌ.tɕi han mjʌŋ.i ku.kʌl.ha.ko it̚.ʌ.jo,There’s a beggar begging over there.,Neutral term for a person who begs on the street; common in daily speech.,152,4262,True,Accurate definition and example; appropriate for TOPIK level 1.,False,True,448,1187,
153,일을,il.ɯl,noun,1,work,저는 오늘 일을 많이 했어요.,tɕʌ.nɯn o.nɯl il.ɯl man.i hɛt̚.ʌ.jo,I did a lot of work today.,Used with object marker 을 to indicate the direct object of a verb in everyday speech,153,4262,True,Clear and accurate analysis of noun plus particle usage,False,True,1152,1874,
154,저는,tɕʌ.nɯn,pronoun,1,I,저는 학생입니다.,tɕʌ.nɯn hak̚.sɛŋ.ip̚.ni.ta,I am a student.,"First person humble pronoun with topic marker, used in polite/formal speech",154,4257,True,Accurate and clear,False,True,832,1551,
155,음,ɯm,noun,1,sound,그의 목소리에 이상한 음이 섞여 있었다.,kɯ.ɰi mok̚.so.ɾi.e i.saŋ.han ɯm.i sʌk̚.jʌ it̚.ʌt̚.ta,There was a strange sound mixed in his voice.,Used to denote a sound or tone in neutral contexts; often in compound words,155,4240,True,Accurate and concise representation of the common meaning,False,True,512,1241,
